"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV168","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV169","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__tamarii"
"ASV170","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV171","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"ASV172","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae",NA,NA
"ASV173","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__oryzae"
"ASV174","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__solani"
"ASV175","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV176","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Veronaeopsis","s__simplex"
"ASV177","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora",NA
"ASV178","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__anguipilium"
"ASV179","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"ASV180","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora","s__prethopodalis"
"ASV181","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium",NA
"ASV182","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,"g__Parapyrenochaeta","s__acaciae"
"ASV183","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Acrophialophora","s__levis"
"ASV184","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV185","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__flava"
"ASV186","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"ASV187","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Hyalodendriella",NA
