OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1302	Fungi	Ascomycota					
ASV1303	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV1304	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	
ASV1305	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	atrogriseum
ASV1306	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	ruineniae
ASV1307	Fungi	Ascomycota					
ASV1308	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	capitata
ASV1309	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	lixii
ASV1310	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV1311	Fungi	Mortierellomycota					
ASV1312	Fungi						
ASV1313	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Monascella	botryosa
ASV1314	Fungi	Ascomycota	Sordariomycetes				
ASV1315	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
ASV1316	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	heveanensis
ASV1317	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Chaetothyrium	agathis
ASV1318	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV1319	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	
ASV1320	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	
ASV1321	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV1322	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	humicola
ASV1323	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	oxysporum
ASV1324	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV1325	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	alabamensis
ASV1326	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1327	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae		
ASV1328	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	benthicum
ASV1329	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascella	humicola
ASV1330	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Lophotrichus	fimeti
ASV1331	Fungi						
ASV1332	Fungi	Ascomycota					
ASV1333	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	luteum
ASV1334	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae		
ASV1335	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	subsylvatica
ASV1336	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	fagi
ASV1337	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	centenaria
ASV1338	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	
ASV1339	Fungi						
ASV1340	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV1341	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV1342	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Flabellascoma	cycadicola
ASV1343	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	
ASV1344	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Neoconiothyrium	hakeae
ASV1345	Fungi	Glomeromycota	Glomeromycetes				
ASV1346	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV1347	Fungi	Ascomycota					
ASV1348	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV1349	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV1350	Fungi	Ascomycota					
ASV1351	Fungi	Ascomycota					
ASV1352	Fungi						
ASV1353	Fungi	Ascomycota					
ASV1354	Fungi						
ASV1355	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	olivacea
ASV1356	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	wolfii
ASV1357	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Pectenia	
ASV1358	Fungi	Ascomycota					
ASV1359	Fungi	Ascomycota					
ASV1360	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	
ASV1361	Fungi						
ASV1362	Fungi	Basidiomycota	Agaricomycetes				
ASV1363	Fungi	Ascomycota					
ASV1364	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	chlamydospora
ASV1365	Fungi	Ascomycota	Sordariomycetes				
ASV1366	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	chaetospira
ASV1367	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_fam_Incertae_sedis	Cyrenella	elegans
ASV1368	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
ASV1369	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	
ASV1370	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	
ASV1371	Fungi	Ascomycota					
ASV1372	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	
ASV1373	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	
ASV1374	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Pseudophialophora	panicorum
ASV1375	Fungi	Ascomycota					
ASV1376	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV1377	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae		
ASV1378	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	
ASV1379	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV1380	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
ASV1381	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	
ASV1382	Fungi						
ASV1383	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
ASV1384	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales			
ASV1385	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV1386	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
ASV1387	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae		
ASV1388	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV1389	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Ramichloridium	apiculatum
ASV1390	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
ASV1391	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	var._yunnanensis
ASV1392	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	
ASV1393	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	rasikravindrae
ASV1394	Fungi						
ASV1395	Fungi	Ascomycota	Eurotiomycetes				
ASV1396	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	
ASV1397	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	petersiae
ASV1398	Fungi	Ascomycota					
ASV1399	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	
ASV1400	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
ASV1401	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV1402	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Conlarium	
ASV1403	Fungi	Ascomycota					
ASV1404	Fungi	Ascomycota					
ASV1405	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	benitoi
ASV1406	Fungi	Glomeromycota	Paraglomeromycetes				
ASV1407	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1408	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Arthrocladium	tardum
ASV1409	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Neophaeococcomyces	
ASV1410	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	
ASV1411	Fungi	Ascomycota					
ASV1412	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	
