ID,Treatment,IND,abuabu,abuinc,acacal,ambcon,ariads,ayefil,boedif,boecoc,bouari,boubar,bricpal,buljun,carari,cencil,chanic,chlvir,comcoe,dicres,datdis,encfar,evoals,euperi,eupflo,eralem,eupped,funcyn,galapa,ibeson,ipohed,ipolep,jatcar,lopsch,lycber,mammic,mimdis,olntes,opuful,oputhu,phaspi,panhir,parpre,phocal,porole,porpil,provel,sespor,setmac,sidrho,steala,talpan,stethu,tidlan,zizobt,bare_soil
CM3,NPRO+B,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.75,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
CM4,NPRO+B,4,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
CM5,NPRO+B,5,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
CPF1, NOLN+B,1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
CPF2, NOLN+B,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.99,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPF3, NOLN+B,3,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPF4, NOLN+B,4,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPF5, NOLN+B,5,0,0,0,0,0,0,0,0,0,0.05,0.25,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0
NPV1,NPAR-B,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.99
NPV2,NPAR-B,2,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
